# energy 	 size (m) 	 pop 	 delta_scan
2.357629457336294809e+00	1.787481766775743755e-04	9.967209334278182009e-01	9.000000000000000000e+00
2.350862522120879650e+00	1.784914682884880608e-04	9.958669268937674346e-01	8.000000000000000000e+00
2.340955987605430000e+00	1.781149897317282373e-04	9.946185372137237302e-01	7.000000000000000000e+00
2.325634800822635739e+00	1.775311656825968789e-04	9.926918562545161695e-01	6.000000000000000000e+00
2.300152822664241814e+00	1.765558823783207798e-04	9.894964432909589824e-01	5.000000000000000000e+00
2.253299288160070191e+00	1.747484312310365715e-04	9.836421903333326666e-01	4.000000000000000000e+00
2.153587639176779867e+00	1.708382526691740557e-04	9.712415920996265717e-01	3.000000000000000000e+00
2.128766082730410680e+00	1.698508861103017879e-04	9.681626660124139638e-01	2.846153846153846256e+00
2.099864060788442899e+00	1.686939223389218240e-04	9.645801569902241468e-01	2.692307692307692513e+00
2.065984147318853825e+00	1.673275061129924637e-04	9.603834024155768478e-01	2.538461538461538769e+00
2.025986672251911092e+00	1.656998586435752682e-04	9.554316293031017704e-01	2.384615384615384581e+00
1.978419190357745272e+00	1.637430983553852994e-04	9.495446620274335947e-01	2.230769230769230838e+00
1.921422139311015354e+00	1.613671917629933852e-04	9.424906181736699695e-01	2.076923076923077094e+00
1.852587971973949976e+00	1.584503730134260036e-04	9.339677340925912619e-01	1.923076923076923128e+00
1.768844794479361049e+00	1.548277169408543267e-04	9.235856129597256325e-01	1.769230769230769384e+00
1.666300221134835002e+00	1.502728322735178584e-04	9.108395512437488239e-01	1.615384615384615419e+00
1.540148045607749427e+00	1.444724642079494594e-04	8.950844594036552193e-01	1.461538461538461675e+00
1.384829778022941049e+00	1.369941565072511794e-04	8.755215216390946908e-01	1.307692307692307709e+00
1.194850609189438639e+00	1.272508378624911691e-04	8.512253456421586817e-01	1.153846153846153966e+00
9.673767523490439668e-01	1.144989935097925833e-04	8.212972164227058114e-01	1.000000000000000000e+00
7.079460810690731964e-01	9.794988645595041263e-05	7.852331333204587427e-01	8.461538461538462563e-01
4.437055950091406409e-01	7.754455328138849313e-05	7.440556688203244784e-01	6.923076923076922906e-01
2.225598276529463515e-01	5.491958338533771238e-05	7.005818162077241951e-01	5.384615384615385469e-01
8.431719107176971484e-02	3.380351881053864630e-05	6.573996770359095132e-01	3.846153846153846367e-01
4.212440553169516377e-02	2.389300304407315507e-05	6.143540360778092513e-01	2.307692307692307820e-01
1.034410141309856090e-01	3.744124062316766806e-05	5.687431523591129912e-01	7.692307692307692735e-02
2.897637340606697975e-01	6.266511783917115737e-05	5.168249693677415824e-01	-7.692307692307692735e-02
6.218281165146006817e-01	9.179922684293262815e-05	4.565076160322260046e-01	-2.307692307692307820e-01
1.070121218046055311e+00	1.204260200137124504e-04	3.909473987424369468e-01	-3.846153846153846367e-01
1.553587886277406849e+00	1.451014522254494624e-04	3.272061177516424890e-01	-5.384615384615385469e-01
2.007184340103020048e+00	1.649291709401821948e-04	2.703182396241544105e-01	-6.923076923076922906e-01
2.400893429012269653e+00	1.803807911427201876e-04	2.222040197096534775e-01	-8.461538461538462563e-01
2.727368988356474677e+00	1.922541817177237874e-04	1.828580688149173128e-01	-1.000000000000000000e+00
2.991586298996592230e+00	2.013513814819179988e-04	1.512530389673488740e-01	-1.153846153846153966e+00
3.203038873462421776e+00	2.083458962368654548e-04	1.260540907362812102e-01	-1.307692307692307709e+00
3.371875417028473265e+00	2.137664799855393781e-04	1.059652408294020354e-01	-1.461538461538461675e+00
3.507062189633408877e+00	2.180095806200350080e-04	8.988408503305138353e-02	-1.615384615384615419e+00
3.615947346486042768e+00	2.213680272622572563e-04	7.692482348813615978e-02	-1.769230769230769384e+00
3.704309474509795308e+00	2.240564636562212295e-04	6.639764524840112425e-02	-1.923076923076923128e+00
3.776619678987567674e+00	2.262327485072169943e-04	5.777222442469671926e-02	-2.076923076923077094e+00
3.836304539056558660e+00	2.280134069020879248e-04	5.064323112442700725e-02	-2.230769230769230838e+00
3.885979705248227667e+00	2.294848976357870306e-04	4.470124323058030646e-02	-2.384615384615384581e+00
3.927669334419044311e+00	2.307125954294798604e-04	3.970757743217843971e-02	-2.538461538461538769e+00
3.962931031906109069e+00	2.317459232527406413e-04	3.547823231518052595e-02	-2.692307692307692513e+00
3.992972427779728051e+00	2.326226514572270676e-04	3.187019544159849088e-02	-2.846153846153846256e+00
4.018744031779635684e+00	2.333721453076186675e-04	2.877103292340678700e-02	-3.000000000000000000e+00
4.122045940340346881e+00	2.363525323061587628e-04	1.630352321557500261e-02	-4.000000000000000000e+00
4.170464811088041124e+00	2.377366159407596070e-04	1.042638177941013905e-02	-5.000000000000000000e+00
4.196766168076294434e+00	2.384850898421423835e-04	7.221125383428219843e-03	-6.000000000000000000e+00
4.212569825503520882e+00	2.389336965821693985e-04	5.289519003604881489e-03	-7.000000000000000000e+00
4.222784757394480337e+00	2.392232126898833071e-04	4.038394221884371825e-03	-8.000000000000000000e+00
4.229759383038850906e+00	2.394206894819234132e-04	3.182767565009605049e-03	-9.000000000000000000e+00
