# delta_sweep 	 F 	 kin_en_sweep
7.750000000000000000e+00	1.692850829587599137e-26	1.792167923974788188e-31
7.500000000000000000e+00	1.690496951460013287e-26	1.789676813505325523e-31
7.250000000000000000e+00	1.687861679890304621e-26	1.786989115623309019e-31
7.000000000000000000e+00	1.684891366082844173e-26	1.784076943486457616e-31
6.750000000000000000e+00	1.681531318991585842e-26	1.780912102500064424e-31
6.500000000000000000e+00	1.677705694742315083e-26	1.777459043919434772e-31
6.250000000000000000e+00	1.673280722761476364e-26	1.773662852145951874e-31
6.000000000000000000e+00	1.668239015762746646e-26	1.769492217530544567e-31
5.750000000000000000e+00	1.662332013211966755e-26	1.764872459048508553e-31
5.500000000000000000e+00	1.655387844872869405e-26	1.759723753446520289e-31
5.250000000000000000e+00	1.647188525880376836e-26	1.753955091931981039e-31
5.000000000000000000e+00	1.637467680596081368e-26	1.747461034547385077e-31
4.750000000000000000e+00	1.625916023074837382e-26	1.740121055175586577e-31
4.500000000000000000e+00	1.611638819449886616e-26	1.731718756050141441e-31
4.250000000000000000e+00	1.594121901202860012e-26	1.722028612136149682e-31
4.000000000000000000e+00	1.572608825271949451e-26	1.710789392615921865e-31
3.750000000000000000e+00	1.544730161665842752e-26	1.697521975050691719e-31
3.500000000000000000e+00	1.509463025013464628e-26	1.681751030367630027e-31
3.250000000000000000e+00	1.463290779583811540e-26	1.662742775106999215e-31
3.000000000000000000e+00	1.401746613030449782e-26	1.639490014474978443e-31
2.750000000000000000e+00	1.318476773451852186e-26	1.610623917894571558e-31
2.500000000000000000e+00	1.203990080021986779e-26	1.574260623957166711e-31
2.250000000000000000e+00	1.045542321135849886e-26	1.527924072760382919e-31
2.000000000000000000e+00	8.299694461085968148e-27	1.468789255733309910e-31
1.750000000000000000e+00	5.573740468022250183e-27	1.394972954353730264e-31
1.500000000000000000e+00	2.685771704700978817e-27	1.308352002750565037e-31
1.250000000000000000e+00	6.110686897652428311e-28	1.217177710471908574e-31
1.000000000000000000e+00	-1.982348645707170459e-28	1.130598024696987277e-31
7.500000000000000000e-01	-1.609411764352809044e-28	1.053069166565461753e-31
5.000000000000000000e-01	1.320780449179890824e-28	9.847254945108307807e-32
2.500000000000000000e-01	3.781766942437279667e-28	9.240733317573789607e-32
0.000000000000000000e+00	4.737995098831226517e-28	8.694033066399832905e-32
-2.500000000000000000e-01	3.764372978484055436e-28	8.191426317887931266e-32
-5.000000000000000000e-01	2.738174094793169048e-29	7.717782676693741938e-32
-7.500000000000000000e-01	-6.394144206210438543e-28	7.258428812908489903e-32
-1.000000000000000000e+00	-1.448060596747462355e-27	6.808189307345394571e-32
-1.250000000000000000e+00	-1.555841569195560765e-27	6.391870185825097850e-32
-1.500000000000000000e+00	5.135969397861766278e-28	6.076534592252363088e-32
-1.750000000000000000e+00	5.127795074039766143e-27	5.927941482292925043e-32
-2.000000000000000000e+00	1.068649260437188211e-26	5.956912485849180800e-32
-2.250000000000000000e+00	1.546003841819217049e-26	6.127837035299311432e-32
-2.500000000000000000e+00	1.898428099861185944e-26	6.398589294538693787e-32
-2.750000000000000000e+00	2.146300523029386100e-26	6.736823576084445959e-32
-3.000000000000000000e+00	2.317165997620601544e-26	7.119538925895897435e-32
-3.250000000000000000e+00	2.437634672368184251e-26	7.531824362976497534e-32
-3.500000000000000000e+00	2.524002923392791138e-26	7.963520612517027369e-32
-3.750000000000000000e+00	2.586897101218570021e-26	8.407514446704910078e-32
-4.000000000000000000e+00	2.634276938724870664e-26	8.858997985531816215e-32
-4.250000000000000000e+00	2.670113285233470650e-26	9.314308175469679781e-32
-4.500000000000000000e+00	2.697952280586370425e-26	9.770842268408480052e-32
-4.750000000000000000e+00	2.719788567314998495e-26	1.022660827953562113e-31
-5.000000000000000000e+00	2.737499488592112482e-26	1.068020833035224188e-31
-5.250000000000000000e+00	2.751738061767440320e-26	1.113046620222488677e-31
-5.500000000000000000e+00	2.763585538130623107e-26	1.157656711752792061e-31
-5.750000000000000000e+00	2.773261719296107620e-26	1.201778899426485812e-31
-6.000000000000000000e+00	2.781536199862378129e-26	1.245367569360428870e-31
-6.250000000000000000e+00	2.788461964348117402e-26	1.288381009302254845e-31
-6.500000000000000000e+00	2.794325799397315820e-26	1.330788603529486876e-31
-6.750000000000000000e+00	2.799455999177491300e-26	1.372571923008702114e-31
-7.000000000000000000e+00	2.803874274388280190e-26	1.413714851428087145e-31
-7.250000000000000000e+00	2.807669927261319412e-26	1.454205512293110262e-31
-7.500000000000000000e+00	2.811056160387756086e-26	1.494039936736265445e-31
-7.750000000000000000e+00	2.813999074882544155e-26	1.533214135217432239e-31
-8.000000000000000000e+00	2.816622369099998314e-26	1.571728853030300161e-31
