# delta_sweep 	 kin_en_sweep
7.750000000000000000e+00	1.813281045733753202e-31
7.500000000000000000e+00	1.811745820858058540e-31
7.250000000000000000e+00	1.810325951333419423e-31
7.000000000000000000e+00	1.808754914641436916e-31
6.750000000000000000e+00	1.807187076113346757e-31
6.500000000000000000e+00	1.805427520448673356e-31
6.250000000000000000e+00	1.803526879750447253e-31
6.000000000000000000e+00	1.801511791109110233e-31
5.750000000000000000e+00	1.799277552157676993e-31
5.500000000000000000e+00	1.796865954278265247e-31
5.250000000000000000e+00	1.794176590748976664e-31
5.000000000000000000e+00	1.791293375345916520e-31
4.750000000000000000e+00	1.788095408807611600e-31
4.500000000000000000e+00	1.784611634094453773e-31
4.250000000000000000e+00	1.780735767681981774e-31
4.000000000000000000e+00	1.776409364033234153e-31
3.750000000000000000e+00	1.771534369941339906e-31
3.500000000000000000e+00	1.766033263035882128e-31
3.250000000000000000e+00	1.759737266835148542e-31
3.000000000000000000e+00	1.752456714637763050e-31
2.750000000000000000e+00	1.744083018789593432e-31
2.500000000000000000e+00	1.734244506453338657e-31
2.250000000000000000e+00	1.722551216002001300e-31
2.000000000000000000e+00	1.708441634235116438e-31
1.750000000000000000e+00	1.691157029629474116e-31
1.500000000000000000e+00	1.669605676699243745e-31
1.250000000000000000e+00	1.642209789316331767e-31
1.000000000000000000e+00	1.606720861306246445e-31
7.500000000000000000e-01	1.559873083842070198e-31
5.000000000000000000e-01	1.497728993297135845e-31
2.500000000000000000e-01	1.418107219436242139e-31
0.000000000000000000e+00	1.333577874826480423e-31
-2.500000000000000000e-01	1.268109406726153299e-31
-5.000000000000000000e-01	1.235854852237997475e-31
-7.500000000000000000e-01	1.232371101698422036e-31
-1.000000000000000000e+00	1.249540183721842733e-31
-1.250000000000000000e+00	1.280290140133073403e-31
-1.500000000000000000e+00	1.319579322660232581e-31
-1.750000000000000000e+00	1.364138358024929887e-31
-2.000000000000000000e+00	1.411812856710833151e-31
-2.250000000000000000e+00	1.461288993871430996e-31
-2.500000000000000000e+00	1.511607909459210145e-31
-2.750000000000000000e+00	1.562183957430730329e-31
-3.000000000000000000e+00	1.612590795161698119e-31
-3.250000000000000000e+00	1.662569486374960595e-31
-3.500000000000000000e+00	1.711946840097201283e-31
-3.750000000000000000e+00	1.760554599416352584e-31
-4.000000000000000000e+00	1.808323005816175682e-31
-4.250000000000000000e+00	1.855185571658055475e-31
-4.500000000000000000e+00	1.901112340679020272e-31
-4.750000000000000000e+00	1.946058909965520885e-31
-5.000000000000000000e+00	1.990027970445110967e-31
-5.250000000000000000e+00	2.033025016448421870e-31
-5.500000000000000000e+00	2.075045429197908050e-31
-5.750000000000000000e+00	2.116107187745098993e-31
-6.000000000000000000e+00	2.156220559013100801e-31
-6.250000000000000000e+00	2.195406253115927276e-31
-6.500000000000000000e+00	2.233681085516235252e-31
-6.750000000000000000e+00	2.271067362916678869e-31
-7.000000000000000000e+00	2.307589367904105785e-31
-7.250000000000000000e+00	2.343265430530728082e-31
-7.500000000000000000e+00	2.378115387641034328e-31
-7.750000000000000000e+00	2.412163767451787569e-31
-8.000000000000000000e+00	2.445432447053955580e-31
