# delta_sweep 	 kin_en_sweep
7.750000000000000000e+00	1.811868643776374243e-31
7.500000000000000000e+00	1.810472190138581657e-31
7.250000000000000000e+00	1.808981012103649354e-31
7.000000000000000000e+00	1.807469282374884688e-31
6.750000000000000000e+00	1.805767666392299751e-31
6.500000000000000000e+00	1.803943825611584809e-31
6.250000000000000000e+00	1.801971577571523354e-31
6.000000000000000000e+00	1.799855313235188162e-31
5.750000000000000000e+00	1.797588700681903385e-31
5.500000000000000000e+00	1.795104954335740735e-31
5.250000000000000000e+00	1.792325409144562602e-31
5.000000000000000000e+00	1.789284510858287471e-31
4.750000000000000000e+00	1.785930251712140195e-31
4.500000000000000000e+00	1.782242020840030817e-31
4.250000000000000000e+00	1.778134115656162479e-31
4.000000000000000000e+00	1.773516297067127624e-31
3.750000000000000000e+00	1.768321059301962397e-31
3.500000000000000000e+00	1.762454729002245152e-31
3.250000000000000000e+00	1.755734177797180611e-31
3.000000000000000000e+00	1.747963091922734037e-31
2.750000000000000000e+00	1.738904618121373166e-31
2.500000000000000000e+00	1.728215341801242375e-31
2.250000000000000000e+00	1.715447149947425048e-31
2.000000000000000000e+00	1.699929460035716553e-31
1.750000000000000000e+00	1.680825897608302963e-31
1.500000000000000000e+00	1.656882367637083878e-31
1.250000000000000000e+00	1.626219910163966382e-31
1.000000000000000000e+00	1.586229875582686375e-31
7.500000000000000000e-01	1.533403773747787801e-31
5.000000000000000000e-01	1.464426160389642800e-31
2.500000000000000000e-01	1.381349621514228834e-31
0.000000000000000000e+00	1.299039442481557246e-31
-2.500000000000000000e-01	1.229671960666926492e-31
-5.000000000000000000e-01	1.187849285531804303e-31
-7.500000000000000000e-01	1.175696414242079091e-31
-1.000000000000000000e+00	1.186557566458990041e-31
-1.250000000000000000e+00	1.213034793899815062e-31
-1.500000000000000000e+00	1.249544951780118744e-31
-1.750000000000000000e+00	1.292283398833111462e-31
-2.000000000000000000e+00	1.338804425852274368e-31
-2.250000000000000000e+00	1.387538927390421554e-31
-2.500000000000000000e+00	1.437437228776555046e-31
-2.750000000000000000e+00	1.487821896619404329e-31
-3.000000000000000000e+00	1.538203566299937433e-31
-3.250000000000000000e+00	1.588289442783674247e-31
-3.500000000000000000e+00	1.637836550581678251e-31
-3.750000000000000000e+00	1.686707276198159168e-31
-4.000000000000000000e+00	1.734785057914035742e-31
-4.250000000000000000e+00	1.782005011592431396e-31
-4.500000000000000000e+00	1.828322653709299443e-31
-4.750000000000000000e+00	1.873706631760557246e-31
-5.000000000000000000e+00	1.918146214655832520e-31
-5.250000000000000000e+00	1.961623904540965687e-31
-5.500000000000000000e+00	2.004150208064274791e-31
-5.750000000000000000e+00	2.045730508502205260e-31
-6.000000000000000000e+00	2.086379492824161741e-31
-6.250000000000000000e+00	2.126114456154381798e-31
-6.500000000000000000e+00	2.164933815156179427e-31
-6.750000000000000000e+00	2.202869835845632093e-31
-7.000000000000000000e+00	2.239939613444245718e-31
-7.250000000000000000e+00	2.276165979328923403e-31
-7.500000000000000000e+00	2.311567396216056488e-31
-7.750000000000000000e+00	2.346167248820847137e-31
-8.000000000000000000e+00	2.379984274025336599e-31
