# energy 	 size (m) 	 pop 	 delta_scan
3.978380405400727682e+00	2.321972112801769608e-04	4.957006398021024038e-03	-8.000000000000000000e+00
3.963911449231923179e+00	2.317745881052985576e-04	6.707240556642559901e-03	-7.000000000000000000e+00
3.896033890438212133e+00	2.297815786987763458e-04	1.473791294475695554e-02	-5.000000000000000000e+00
3.802888101471180171e+00	2.270181703792790453e-04	2.545363805387032205e-02	-4.000000000000000000e+00
3.555222559977578634e+00	2.195013736663379818e-04	5.307916345721238466e-02	-3.000000000000000000e+00
3.260257974071016918e+00	2.101986046712446706e-04	8.527732914196500813e-02	-2.500000000000000000e+00
2.686387214760302733e+00	1.908042973697234750e-04	1.479764156367955608e-01	-2.000000000000000000e+00
2.519599414911185331e+00	1.847862258334351119e-04	1.665437813876926576e-01	-1.897435897435897356e+00
2.336029679575265749e+00	1.779274784283715514e-04	1.872977022700533511e-01	-1.794871794871794712e+00
2.138051037614436378e+00	1.702208990299243518e-04	2.101562578975810780e-01	-1.692307692307692291e+00
1.929495853857332133e+00	1.617058645814662592e-04	2.349045026536309977e-01	-1.589743589743589647e+00
1.715610984152972751e+00	1.524801304912397251e-04	2.611704846861048757e-01	-1.487179487179487225e+00
1.502285160371808370e+00	1.426855634412773114e-04	2.884830159895951374e-01	-1.384615384615384581e+00
1.295369952929927848e+00	1.324953862104413110e-04	3.163115796475726160e-01	-1.282051282051281937e+00
1.100061189165489228e+00	1.220990450462014400e-04	3.441167132752502855e-01	-1.179487179487179516e+00
9.203522111912620929e-01	1.116814068006277059e-04	3.714095676524322709e-01	-1.076923076923076872e+00
7.588928617999615156e-01	1.014131049882505554e-04	3.977791258940939212e-01	-9.743589743589743390e-01
6.168959178813924193e-01	9.143443679195776565e-05	4.229284118298408668e-01	-8.717948717948718063e-01
4.943617473945465246e-01	8.185143075054149070e-05	4.466800763906535465e-01	-7.692307692307691624e-01
3.904459238559738754e-01	7.274184171248844586e-05	4.689553263218639856e-01	-6.666666666666666297e-01
3.036703774946118983e-01	6.415124076036500306e-05	4.897773714535577638e-01	-5.641025641025640969e-01
2.323134226661891510e-01	5.611009416509695386e-05	5.092311190955310929e-01	-4.615384615384615086e-01
1.745916938829321641e-01	4.864247172763145054e-05	5.274496886082650215e-01	-3.589743589743589758e-01
1.288562622939206648e-01	4.178848348272926213e-05	5.445852169979118473e-01	-2.564102564102563875e-01
9.366043190377637551e-02	3.562721904753624996e-05	5.607993066094567602e-01	-1.538461538461538547e-01
6.778985961272243621e-02	3.031001931727973940e-05	5.762634927248349026e-01	-5.128205128205128027e-02
5.035060530165447190e-02	2.612198608901237831e-05	5.910937161810884133e-01	5.128205128205128027e-02
4.059949820465380554e-02	2.345655230020427914e-05	6.054641303805290420e-01	1.538461538461538547e-01
3.807293824508217739e-02	2.271496348928398834e-05	6.194925659589326505e-01	2.564102564102563875e-01
4.249023461755419007e-02	2.399652806780800250e-05	6.332977250080231713e-01	3.589743589743589758e-01
5.374737551375052824e-02	2.698873177461636290e-05	6.469887147152296736e-01	4.615384615384615086e-01
7.189530639747543361e-02	3.121433703537882285e-05	6.606651097207074663e-01	5.641025641025640969e-01
9.711700916147192331e-02	3.627868156002121697e-05	6.744165797104177962e-01	6.666666666666666297e-01
1.297058275760076818e-01	4.192601548504826638e-05	6.883237399010884161e-01	7.692307692307691624e-01
1.700272774101090345e-01	4.800242151651023934e-05	7.024533931650736029e-01	8.717948717948718063e-01
2.184785183593180857e-01	5.441369485885245928e-05	7.168566559208845446e-01	9.743589743589743390e-01
2.754252026798797992e-01	6.109500219420259382e-05	7.315629057679751135e-01	1.076923076923076872e+00
3.411346867466218402e-01	6.799340435407191113e-05	7.465767211614202647e-01	1.179487179487179516e+00
4.156801937996208451e-01	7.505567098497188151e-05	7.618709573724787854e-01	1.282051282051281937e+00
4.988436759210133076e-01	8.222162983376803689e-05	7.773825206334024074e-01	1.384615384615384581e+00
5.900093969921844650e-01	8.941972094415516980e-05	7.930097484943059438e-01	1.487179487179487225e+00
6.880955662153092067e-01	9.656688571464685871e-05	8.086126932113476551e-01	1.589743589743589647e+00
7.915051947574318625e-01	1.035692260003770335e-04	8.240169484001210742e-01	1.692307692307692291e+00
8.981514733366045000e-01	1.103261947475986496e-04	8.390225585997009849e-01	1.794871794871794712e+00
1.005659443199733882e+00	1.167425872444288672e-04	8.534288906665276064e-01	1.897435897435897356e+00
1.111514790250309748e+00	1.227330336116460240e-04	8.670450396067025389e-01	2.000000000000000000e+00
1.543189297848444941e+00	1.446150350850358799e-04	9.187669919709298139e-01	2.500000000000000000e+00
1.802352896785926806e+00	1.562873258791536754e-04	9.483899916102302985e-01	3.000000000000000000e+00
2.033075694212030271e+00	1.659895012675433284e-04	9.748898184831449321e-01	4.000000000000000000e+00
2.121835319652380480e+00	1.695741633666731621e-04	9.853513651937200191e-01	5.000000000000000000e+00
2.187015009030758961e+00	1.721589985314995379e-04	9.932508366975882907e-01	7.000000000000000000e+00
2.200958134261347787e+00	1.727069190243051802e-04	9.949800427392825330e-01	8.000000000000000000e+00
