# energy 	 size (m) 	 pop 	 delta_scan
4.157828177564471872e+00	2.373761681515976522e-04	4.364303830884519106e-03	-8.000000000000000000e+00
4.146233443646218930e+00	2.370449573750131177e-04	5.783095262528308370e-03	-7.000000000000000000e+00
4.096245425502083926e+00	2.356116879305534422e-04	1.183506233625960559e-02	-5.000000000000000000e+00
4.035210208212347993e+00	2.338497595408651564e-04	1.912431325461279655e-02	-4.000000000000000000e+00
3.895139976599597986e+00	2.297552164131397669e-04	3.559290452320248987e-02	-3.000000000000000000e+00
3.748346436138214166e+00	2.253843244712787797e-04	5.261094449358696967e-02	-2.500000000000000000e+00
3.476220350312601681e+00	2.170488527922409170e-04	8.382089394906766522e-02	-2.000000000000000000e+00
3.393875135571983392e+00	2.144627032894536457e-04	9.322215808404638038e-02	-1.897435897435897356e+00
3.298764667899927616e+00	2.114362818579514341e-04	1.040726944469460569e-01	-1.794871794871794712e+00
3.188741076537892738e+00	2.078803665978839078e-04	1.166255615498828502e-01	-1.692307692307692291e+00
3.061530151484566531e+00	2.036915984916399397e-04	1.311572310365923810e-01	-1.589743589743589647e+00
2.914783577644075585e+00	1.987499384713164096e-04	1.479689192500276973e-01	-1.487179487179487225e+00
2.746288608992212943e+00	1.929198580362937636e-04	1.673710467811689306e-01	-1.384615384615384581e+00
2.554499825741634478e+00	1.860616142759946058e-04	1.896382900838206598e-01	-1.282051282051281937e+00
2.339044205141324717e+00	1.780422445228313456e-04	2.149685188914853828e-01	-1.179487179487179516e+00
2.101695812812359510e+00	1.687674837853406240e-04	2.433924242708084551e-01	-1.076923076923076872e+00
1.846868115770768259e+00	1.582055765437775301e-04	2.747202360357764994e-01	-9.743589743589743390e-01
1.582368673192723119e+00	1.464393134474307697e-04	3.084498368288360881e-01	-8.717948717948718063e-01
1.319703339000483755e+00	1.337340520557054940e-04	3.436654348154833949e-01	-7.692307692307691624e-01
1.071407108741086578e+00	1.204983521029872939e-04	3.792304452591189201e-01	-6.666666666666666297e-01
8.483183724240710433e-01	1.072218465572736179e-04	4.140072574839296360e-01	-5.641025641025640969e-01
6.574021421086733152e-01	9.438856930699460451e-05	4.470851402060467272e-01	-4.615384615384615086e-01
5.011798617736389350e-01	8.241393520867199051e-05	4.779097447874948168e-01	-3.589743589743589758e-01
3.784182383769465474e-01	7.161267156503707857e-05	5.063188383566183948e-01	-2.564102564102563875e-01
2.857246673931799208e-01	6.222683521204043532e-05	5.324598067047630057e-01	-1.538461538461538547e-01
2.187023869558903932e-01	5.444156578794815885e-05	5.567971202042386603e-01	-5.128205128205128027e-02
1.750738486074614464e-01	4.870959126576591882e-05	5.792679438691450411e-01	5.128205128205128027e-02
1.506370911082666186e-01	4.518245307225317883e-05	6.007302576272647299e-01	1.538461538461538547e-01
1.439166869314794095e-01	4.416308692479114009e-05	6.214067303965546962e-01	2.564102564102563875e-01
1.538342457138037744e-01	4.565941670364229957e-05	6.416318197315962202e-01	3.589743589743589758e-01
1.800267127420458468e-01	4.939378665806500908e-05	6.616946470365758781e-01	4.615384615384615086e-01
2.226619914130953948e-01	5.493218706915982012e-05	6.818322490617629850e-01	5.641025641025640969e-01
2.821611126968610606e-01	6.183757150176286295e-05	7.022102134311853927e-01	6.666666666666666297e-01
3.588584671342605059e-01	6.973735071676112043e-05	7.229105472397470145e-01	7.692307692307691624e-01
4.525195318160484259e-01	7.831095324120480286e-05	7.439017770896850790e-01	8.717948717948718063e-01
5.617927049248867544e-01	8.725531558455267565e-05	7.650157793931354755e-01	9.743589743589743390e-01
6.839055826760276346e-01	9.627242698532080100e-05	7.859621965135183963e-01	1.076923076923076872e+00
8.144493201207096966e-01	1.050596327760407650e-04	8.063357644767635835e-01	1.179487179487179516e+00
9.481672312632898336e-01	1.133564709585499264e-04	8.257229769741427639e-01	1.282051282051281937e+00
1.079711195285384839e+00	1.209644201999901623e-04	8.437580183545860812e-01	1.384615384615384581e+00
1.204601628775364919e+00	1.277690215277808763e-04	8.601901912034720654e-01	1.487179487179487225e+00
1.319855230573794280e+00	1.337417479107210589e-04	8.749147022557941522e-01	1.589743589743589647e+00
1.424268778704916638e+00	1.389312115575379964e-04	8.879777248710178927e-01	1.692307692307692291e+00
1.517527350971843436e+00	1.434075807835876631e-04	8.994780268505204734e-01	1.794871794871794712e+00
1.600145683027418997e+00	1.472595971232366875e-04	9.095659659892522120e-01	1.897435897435897356e+00
1.672991901594979236e+00	1.505742696171676477e-04	9.184028039102604124e-01	2.000000000000000000e+00
1.920778414434459069e+00	1.613401584590654460e-04	9.482581364500111132e-01	2.500000000000000000e+00
2.057942987832551474e+00	1.670015551723068987e-04	9.648037275239269572e-01	3.000000000000000000e+00
2.190545194801039930e+00	1.722978883401586972e-04	9.809587471248477630e-01	4.000000000000000000e+00
2.248775813349053632e+00	1.745729402865073558e-04	9.881520488468648056e-01	5.000000000000000000e+00
2.296656646536708646e+00	1.764216510367114493e-04	9.941461909248610063e-01	7.000000000000000000e+00
2.307787905356835534e+00	1.768486676999042758e-04	9.955548253523738289e-01	8.000000000000000000e+00
