# energy 	 size (m) 	 pop 	 delta_scan
2.097379485349844863e+00	1.685940928219539997e-04	9.968155515638407183e-01	9.000000000000000000e+00
2.091671405433267683e+00	1.683645196284794352e-04	9.960016838326376520e-01	8.000000000000000000e+00
2.083396442790683700e+00	1.680311520699871546e-04	9.948195692440884308e-01	7.000000000000000000e+00
2.070719050221397239e+00	1.675191402236871877e-04	9.930103374263199445e-01	6.000000000000000000e+00
2.049865018619970058e+00	1.666734703172532365e-04	9.900433369162028319e-01	5.000000000000000000e+00
2.012145693388835976e+00	1.651328808937715725e-04	9.846932971985896677e-01	4.000000000000000000e+00
1.933950850552809797e+00	1.618924376024516855e-04	9.736261195408794089e-01	3.000000000000000000e+00
1.914840139313997991e+00	1.610905659267021929e-04	9.709213471828287423e-01	2.846153846153846256e+00
1.892730877936692480e+00	1.601578682256821770e-04	9.677917135609030996e-01	2.692307692307692513e+00
1.866992772977853488e+00	1.590651957645149595e-04	9.641472369260373210e-01	2.538461538461538769e+00
1.836828984714640622e+00	1.577750068889119124e-04	9.598740636140705718e-01	2.384615384615384581e+00
1.801239319008166806e+00	1.562390376155517794e-04	9.548271371907768312e-01	2.230769230769230838e+00
1.758933806751885154e+00	1.543933512102898110e-04	9.488200024919898334e-01	2.076923076923077094e+00
1.708250872366082085e+00	1.521527028099774138e-04	9.416113519869609982e-01	1.923076923076923128e+00
1.647056847228637988e+00	1.494025948066569486e-04	9.328871474630658911e-01	1.769230769230769384e+00
1.572626271282203003e+00	1.459878151949246491e-04	9.222374440792517891e-01	1.615384615384615419e+00
1.481405889738779624e+00	1.416905478079810861e-04	9.091251075451628472e-01	1.461538461538461675e+00
1.369002811850157819e+00	1.362090663226251091e-04	8.928530754006950287e-01	1.307692307692307709e+00
1.230107309765668955e+00	1.291145974410266612e-04	8.725289089619211458e-01	1.153846153846153966e+00
1.058936736688504521e+00	1.197950445747422813e-04	8.470505283415754594e-01	1.000000000000000000e+00
8.507270781611147026e-01	1.073739609142328850e-04	8.151513429696969348e-01	8.461538461538462563e-01
6.056703566787000614e-01	9.059870815973042964e-05	7.755751912320564267e-01	6.923076923076922906e-01
3.418807708411726320e-01	6.806771677812997062e-05	7.277000215645179626e-01	5.384615384615385469e-01
1.194246979086228677e-01	4.023008235210872002e-05	6.727458459857438289e-01	3.846153846153846367e-01
3.624213609684767690e-02	2.216209128257418700e-05	6.130318402076389006e-01	2.307692307692307820e-01
1.646444109412641410e-01	4.723645989051805547e-05	5.478852281372258437e-01	7.692307692307692735e-02
4.985839163210856739e-01	8.220021968083783049e-05	4.763710060980500538e-01	-7.692307692307692735e-02
9.418687959681888433e-01	1.129793444314742851e-04	4.035070395101607033e-01	-2.307692307692307820e-01
1.395450676730137118e+00	1.375184887974467663e-04	3.356108122671774829e-01	-3.846153846153846367e-01
1.810288150141355690e+00	1.566309926176460065e-04	2.761442798692343992e-01	-5.384615384615385469e-01
2.165130746132216899e+00	1.712954824534052077e-04	2.263893750195875298e-01	-6.923076923076922906e-01
2.457126136198013899e+00	1.824809661424577046e-04	1.859507930338379078e-01	-8.461538461538462563e-01
2.692472626868930075e+00	1.910202874460355856e-04	1.535961427491148723e-01	-1.000000000000000000e+00
2.880488384223777398e+00	1.975772380125212003e-04	1.278644226495393721e-01	-1.153846153846153966e+00
3.030504381235385125e+00	2.026568575098542811e-04	1.073895546259381745e-01	-1.307692307692307709e+00
3.150636509654653139e+00	2.066345774912902214e-04	9.102213191691593819e-02	-1.461538461538461675e+00
3.247440854326426596e+00	2.097850187206685545e-04	7.784665724775005624e-02	-1.615384615384615419e+00
3.326062078732344496e+00	2.123093013960420652e-04	6.715310711342305228e-02	-1.769230769230769384e+00
3.390442914105173955e+00	2.143542329334626535e-04	5.839811423192810269e-02	-1.923076923076923128e+00
3.443624929729921291e+00	2.160288568368597909e-04	5.116694409655361819e-02	-2.076923076923077094e+00
3.487928964867918147e+00	2.174140777721429761e-04	4.514296137431784983e-02	-2.230769230769230838e+00
3.525132833512119035e+00	2.185705218734221246e-04	4.008326368240099080e-02	-2.384615384615384581e+00
3.556613653298002831e+00	2.195443128953544938e-04	3.580027315949076833e-02	-2.538461538461538769e+00
3.583455412677849949e+00	2.203712060330158653e-04	3.214802775116848421e-02	-2.692307692307692513e+00
3.606489868346424821e+00	2.210783446689880795e-04	2.901222158415951713e-02	-2.846153846153846256e+00
3.626385622710105672e+00	2.216873122521781955e-04	2.630247172447782930e-02	-3.000000000000000000e+00
3.707644727848347976e+00	2.241573079486298416e-04	1.521856486754225198e-02	-4.000000000000000000e+00
3.746763754216497766e+00	2.253367369064922059e-04	9.862622835052910208e-03	-5.000000000000000000e+00
3.768371501105574950e+00	2.259855660966795686e-04	6.893044135694761931e-03	-6.000000000000000000e+00
3.781499980410246486e+00	2.263788748904557973e-04	5.082516471249491283e-03	-7.000000000000000000e+00
3.790066082677596704e+00	2.266351340010619702e-04	3.899684705720812567e-03	-8.000000000000000000e+00
3.795972011764772169e+00	2.268116441166731327e-04	3.085390545959130256e-03	-9.000000000000000000e+00
