# energy 	 size (m) 	 pop 	 delta_scan
2.097124739817703087e+00	1.685838538794083780e-04	9.967884214834593637e-01	9.000000000000000000e+00
2.091264783347066114e+00	1.683481537548626506e-04	9.959631395428872880e-01	8.000000000000000000e+00
2.082737857617753541e+00	1.680045916972477840e-04	9.947622513966594138e-01	7.000000000000000000e+00
2.069642191676939635e+00	1.674755761591394869e-04	9.929199032764004507e-01	6.000000000000000000e+00
2.048065685832773486e+00	1.666003028457514984e-04	9.898889402319611674e-01	5.000000000000000000e+00
2.008916721685470641e+00	1.650003299833314302e-04	9.843989882975143768e-01	4.000000000000000000e+00
1.927276831645454269e+00	1.616128526861573562e-04	9.729668236633736145e-01	3.000000000000000000e+00
1.907231166187307370e+00	1.607701856877729858e-04	9.701605091202381015e-01	2.846153846153846256e+00
1.884005759242730171e+00	1.597882936126419668e-04	9.669083885703153580e-01	2.692307692307692513e+00
1.856918994666219014e+00	1.586354793499748490e-04	9.631149601700086382e-01	2.538461538461538769e+00
1.825117751351585049e+00	1.572712325674306515e-04	9.586594045653448193e-01	2.384615384615384581e+00
1.787515725080217610e+00	1.556427090781856788e-04	9.533874530105498346e-01	2.230769230769230838e+00
1.742719950488067937e+00	1.536801045772666656e-04	9.471005897477595692e-01	2.076923076923077094e+00
1.688943332262381247e+00	1.512904048475069690e-04	9.395419228640087272e-01	1.923076923076923128e+00
1.623879535492161352e+00	1.483476770874179605e-04	9.303769447533232206e-01	1.769230769230769384e+00
1.544582259301639837e+00	1.446802888202675379e-04	9.191701034457754327e-01	1.615384615384615419e+00
1.447299868474243301e+00	1.400499980823319789e-04	9.053540900235141908e-01	1.461538461538461675e+00
1.327400390793747054e+00	1.341234810077895239e-04	8.881983335447376504e-01	1.307692307692307709e+00
1.179525620046741441e+00	1.264321534582977711e-04	8.667868104682002750e-01	1.153846153846153966e+00
9.983794291796652676e-01	1.163192673204204472e-04	8.400333963606936294e-01	1.000000000000000000e+00
7.811090882062081686e-01	1.028868074330668359e-04	8.067970176797774062e-01	8.461538461538462563e-01
5.333561140049976057e-01	8.501831333919144455e-05	7.662249686898173762e-01	6.923076923076922906e-01
2.853241665253734016e-01	6.218320817569235293e-05	7.188859947943722073e-01	5.384615384615385469e-01
9.874381989929958969e-02	3.658127243656116555e-05	6.673219576827841282e-01	3.846153846153846367e-01
3.552591564168117166e-02	2.194201390785946050e-05	6.135167515473909372e-01	2.307692307692307820e-01
1.307518878625393288e-01	4.209473985876810290e-05	5.554797531904985819e-01	7.692307692307692735e-02
4.011810909291742000e-01	7.373506601305366388e-05	4.901664842681970891e-01	-7.692307692307692735e-02
8.073344065972816175e-01	1.045997331571665476e-04	4.198658750104076742e-01	-2.307692307692307820e-01
1.256803450349347262e+00	1.305081183323534557e-04	3.516412296262845794e-01	-3.846153846153846367e-01
1.684029758507994412e+00	1.510701730596780809e-04	2.904252035360898598e-01	-5.384615384615385469e-01
2.057576923254931245e+00	1.669867014875978442e-04	2.384138235894109614e-01	-6.923076923076922906e-01
2.368737946383137061e+00	1.791687874582159601e-04	1.957567437686930090e-01	-8.461538461538462563e-01
2.621093662162777616e+00	1.884712522144221770e-04	1.614658869360621474e-01	-1.000000000000000000e+00
2.823191519855984044e+00	1.956023266445590999e-04	1.341445306531311443e-01	-1.153846153846153966e+00
2.984467890590319250e+00	2.011116833977321685e-04	1.124053710706904297e-01	-1.307692307692307709e+00
3.113460998965403626e+00	2.054118816118115376e-04	9.504672723755044905e-02	-1.461538461538461675e+00
3.217191154322176949e+00	2.088056658411954975e-04	8.109863742553181931e-02	-1.615384615384615419e+00
3.301220553078832332e+00	2.115149729246127222e-04	6.980242268111525039e-02	-1.769230769230769384e+00
3.369863006691295126e+00	2.137026801670198961e-04	6.057472052953120217e-02	-1.923076923076923128e+00
3.426413115137308729e+00	2.154883063324669417e-04	5.297064782256229176e-02	-2.076923076923077094e+00
3.473403341263038513e+00	2.169608905169450794e-04	4.665010796004458171e-02	-2.230769230769230838e+00
3.512769870709535169e+00	2.181869118478770595e-04	4.135271037091216295e-02	-2.384615384615384581e+00
3.546007580396177694e+00	2.192167201697813636e-04	3.687766539879482747e-02	-2.538461538461538769e+00
3.574282893395831273e+00	2.200889848145649776e-04	3.306897012965081400e-02	-2.692307692307692513e+00
3.598504101870226179e+00	2.208334447113003145e-04	2.980469706475813788e-02	-2.846153846153846256e+00
3.619386475013979698e+00	2.214732738393719667e-04	2.698870708963674314e-02	-3.000000000000000000e+00
3.704272262892033929e+00	2.240553382744896595e-04	1.552402915240267203e-02	-4.000000000000000000e+00
3.744888507093396157e+00	2.252803395751656868e-04	1.002265786493994858e-02	-5.000000000000000000e+00
3.767250650215793861e+00	2.259519554295204714e-04	6.986707736657802453e-03	-6.000000000000000000e+00
3.780813411301519267e+00	2.263583232841431250e-04	5.141857405652837387e-03	-7.000000000000000000e+00
3.789641721541689101e+00	2.266224458535393363e-04	3.939575298014802787e-03	-8.000000000000000000e+00
3.795706066822198466e+00	2.268036987912056760e-04	3.113463111019392805e-03	-9.000000000000000000e+00
